Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
FAM90A10,ENSG00000285950,0.9734138049340948,0.0265861950659053,8,
GLA,ENSG00000102393,0.9734229735744342,0.0265770264255658,X,
AGA,ENSG00000038002,0.973441161971567,0.026558838028433,4,
C2CD4B,ENSG00000205502,0.9734522834193792,0.0265477165806205,15,
OR5P2,ENSG00000183303,0.9734550053732466,0.0265449946267534,11,
HTR1F,ENSG00000179097,0.9734570899906564,0.0265429100093436,3,
DNAAF8,ENSG00000166246,0.9734633747339436,0.0265366252660562,16,
PIRT,ENSG00000233670,0.9734683280113716,0.0265316719886284,17,
NIPAL3,ENSG00000001461,0.9734779195413994,0.0265220804586006,1,
USP17L1,ENSG00000230549,0.973481919802021,0.0265180801979789,8,
OR2G6,ENSG00000188558,0.9734841732183416,0.0265158267816582,1,
SERPINA2,ENSG00000258597,0.9735488036691096,0.0264511963308906,14,
PRICKLE4,ENSG00000278224,0.9735530707652524,0.0264469292347474,6,
,ENSG00000124593,0.9735530707652524,0.0264469292347474,6,
CHIT1,ENSG00000133063,0.9735744286926824,0.0264255713073176,1,
CLDN8,ENSG00000156284,0.9735862244299568,0.0264137755700431,21,
OR4D11,ENSG00000176200,0.973592060357978,0.0264079396420222,11,
CCL21,ENSG00000137077,0.9736218264207694,0.0263781735792305,9,
FAM90A18,ENSG00000285913,0.973638510859924,0.026361489140076,8,
FAM90A19,ENSG00000285657,0.973638510859924,0.026361489140076,8,
IFIT1,ENSG00000185745,0.9736419243233356,0.0263580756766643,10,
SLC36A4,ENSG00000180773,0.9736448273671542,0.0263551726328458,11,
LCN12,ENSG00000184925,0.9736502031847852,0.0263497968152146,9,
OLR1,ENSG00000173391,0.973656227773806,0.0263437722261939,12,
OR4A16,ENSG00000181961,0.973674257388032,0.026325742611968,11,
FAM90A8,ENSG00000285937,0.9736757663175424,0.0263242336824575,8,
PDZK1IP1,ENSG00000162366,0.9737077938111742,0.0262922061888258,1,
SPAG11A,ENSG00000178287,0.9737091961198244,0.0262908038801754,8,
C21orf91,ENSG00000154642,0.9737393592449296,0.0262606407550703,21,
DNAJC12,ENSG00000108176,0.9737471885624414,0.0262528114375586,10,
CDC42SE1,ENSG00000197622,0.9737543890010182,0.0262456109989818,1,
IL1A,ENSG00000115008,0.9737673430064966,0.0262326569935033,2,
ADAM8,ENSG00000151651,0.9737680058337568,0.0262319941662431,10,
IL25,ENSG00000166090,0.9737710771553824,0.0262289228446177,14,
FAM90A5P,ENSG00000215373,0.973772110412807,0.026227889587193,8,
SH2D7,ENSG00000183476,0.97378275517175,0.02621724482825,15,
BID,ENSG00000015475,0.9737831652487364,0.0262168347512635,22,
MRGPRG,ENSG00000182170,0.973786168853415,0.0262138311465849,11,
METRN,ENSG00000103260,0.9737894513509752,0.0262105486490248,16,
GPRIN2,ENSG00000204175,0.9738368286690576,0.0261631713309425,10,
FAM90A14,ENSG00000285814,0.9738598112521628,0.0261401887478372,8,
PTGIR,ENSG00000160013,0.973868772971678,0.0261312270283219,19,
FAM90A16,ENSG00000285620,0.9738782773097258,0.0261217226902742,8,
